block_id,count,n_strains,duplicated,core,len
259328830096785243,17,17,False,True,695
869142059634914947,17,17,False,True,213
892673309447430043,17,17,False,True,808
1056793367443134804,17,17,False,True,5238
1073641038486154513,17,17,False,True,1014
1490020800069304682,17,17,False,True,1115
1509358733940336663,17,17,False,True,1140
1987976878355235838,17,17,False,True,254
2058073670910157198,17,17,False,True,875
2060930081870046894,17,17,False,True,1794
2109959146457637841,17,17,False,True,3465
2275674305116089313,17,17,False,True,181
2641353515320670473,17,17,False,True,590
2734669499172808147,17,17,False,True,565
2896048123697435889,17,17,False,True,848
3300994634799946878,17,17,False,True,2129
3335113340415030662,17,17,False,True,2890
3381013492366732140,17,17,False,True,840
3643013513877165747,17,17,False,True,289
3792528033275959386,17,17,False,True,2618
3875030905704294989,17,17,False,True,1787
3877447870007910230,17,17,False,True,1627
3973282428325351980,17,17,False,True,1794
4079036151704491183,17,17,False,True,1100
4094751278213431707,17,17,False,True,541
4174710308341629106,17,17,False,True,1419
4212396951993469887,17,17,False,True,1054
4350393552953292642,17,17,False,True,4053
4486712437229360802,17,17,False,True,812
4501582666574673893,17,17,False,True,2247
5568508853437903775,17,17,False,True,1978
5758459947237948578,17,17,False,True,1260
5908148430631948109,17,17,False,True,732
6197459009917514603,17,17,False,True,1729
6461168977692765223,17,17,False,True,444
6484228450288820572,17,17,False,True,416
6554895451802233404,17,17,False,True,8389
6633989030201887448,17,17,False,True,656
6706173992140413733,17,17,False,True,692
6906147265176053254,17,17,False,True,857
6926599965476196331,17,17,False,True,1343
7174880311234279859,17,17,False,True,800
7352310220542934298,17,17,False,True,414
7394640615025556615,17,17,False,True,187
7623730063507575182,17,17,False,True,452
7794247239378251389,17,17,False,True,286
7867549448475736300,17,17,False,True,1144
8374352561954568454,17,17,False,True,409
8918125192928383591,17,17,False,True,534
9265484601079075835,17,17,False,True,115
9289368612627702088,17,17,False,True,2817
9393163271190589265,17,17,False,True,2236
9646437295641374669,17,17,False,True,1525
9675458889792915990,17,17,False,True,855
9766870316380997565,17,17,False,True,1327
9897808304329157351,17,17,False,True,1549
10174052846605762777,17,17,False,True,3623
10535947421452581925,17,17,False,True,4957
10652417665419572663,17,17,False,True,2200
11087182470838368564,17,17,False,True,655
11158831501843522041,17,17,False,True,172
11182558841557527703,17,17,False,True,2258
11216343054461334866,17,17,False,True,4984
11279296882343180832,17,17,False,True,1305
11377616388128858925,17,17,False,True,965
11812357633709385436,17,17,False,True,6221
11836693936388735878,17,17,False,True,479
11945520221692747073,17,17,False,True,1867
12038948835953445957,17,17,False,True,1204
12169108864635487680,17,17,False,True,1748
12278114123791455903,17,17,False,True,1665
12395662671099449627,17,17,False,True,4396
12590539111786670349,17,17,False,True,888
12605059280380365516,17,17,False,True,3181
12748754123099277046,17,17,False,True,312
12812690925447443221,17,17,False,True,1015
12836686664148561126,17,17,False,True,704
12914086542638660879,17,17,False,True,5282
13003910571323915638,17,17,False,True,2770
13167788632547635067,17,17,False,True,1561
13302260835562279399,17,17,False,True,459
13590311386302079253,17,17,False,True,1237
14064234949050864949,17,17,False,True,1284
14501579632765456555,17,17,False,True,1267
14678382637192012330,17,17,False,True,2501
14837512333612285325,17,17,False,True,542
14911835147177032232,17,17,False,True,4176
15074803863027417919,17,17,False,True,1485
15135335655010350044,17,17,False,True,906
15161849989231631338,17,17,False,True,698
15197397613331657872,17,17,False,True,846
15666291889624183923,17,17,False,True,2331
15728552520831908674,17,17,False,True,4281
15784462851312002565,17,17,False,True,977
15832635718273247930,17,17,False,True,9129
15999043185115101563,17,17,False,True,638
16159787198339128862,17,17,False,True,876
16492298404755774652,17,17,False,True,1887
16638980561640461870,17,17,False,True,1428
16669777275983522547,17,17,False,True,149
17143634998714665823,17,17,False,True,213
17360188807270020058,17,17,False,True,160
17378486168634962353,17,17,False,True,5223
17560700728887290096,17,17,False,True,323
17687967214489502753,17,17,False,True,1156
17694512815340043079,17,17,False,True,577
18225106826751453898,17,17,False,True,2287
18341665202269619667,17,17,False,True,3149
