block_id,count,n_strains,duplicated,core,len
17263251561688874,286,17,True,False,195
76767864699479040,116,17,True,False,168
256434466745157978,90,17,True,False,171
329682027710503481,26,17,True,False,360
370647579004227262,230,17,True,False,241
379878828176772287,387,17,True,False,149
424536397005315440,93,17,True,False,719
668772751128061625,158,17,True,False,144
676674170342510532,96,17,True,False,149
785534882057357097,184,17,True,False,129
858528092953177989,210,17,True,False,152
939822356806253820,18,17,True,False,394
948820786190557646,239,17,True,False,107
972515807454572286,18,17,True,False,1150
1019945878267306794,28,17,True,False,113
1085439763287684215,438,17,True,False,101
1176160884190950351,265,17,True,False,132
1197542485747182814,86,17,True,False,208
1305398251292975631,268,17,True,False,132
1347220230995499375,502,17,True,False,146
1406598761246078256,33,17,True,False,530
1509538805728492994,170,17,True,False,159
1581624992350642806,61,17,True,False,202
1583411509825966505,144,17,True,False,158
1793343556479691098,274,17,True,False,174
1917328915738272921,202,17,True,False,152
1993018658767295207,273,17,True,False,159
2016218840131338770,22,17,True,False,247
2120901590696504671,473,17,True,False,191
2190661188076913380,194,17,True,False,110
2287689365138800276,441,17,True,False,241
2343526518510088823,18,17,True,False,131
2367245900843025847,466,17,True,False,151
2561873609630195688,31,17,True,False,193
2782529674840502850,370,17,True,False,123
2811282683567973788,379,17,True,False,182
2941151669756986156,391,17,True,False,193
3021438844575571232,282,17,True,False,226
3095609034743869154,268,17,True,False,145
3299989380856154709,18,17,True,False,578
3431867827121519162,197,17,True,False,177
3443221113970574012,18,17,True,False,1624
3474711444881347435,205,17,True,False,153
3599580804437991731,307,17,True,False,141
3622073940000797397,93,17,True,False,138
3777332813812457580,34,17,True,False,1188
3853785702869679699,183,17,True,False,182
3874741172921726814,284,17,True,False,188
3895112186653020119,73,17,True,False,214
3934577541659354402,188,17,True,False,137
3939829778120300729,1511,17,True,False,136
4146172308243480470,233,17,True,False,176
4169537829941223166,196,17,True,False,144
4230379631648529161,597,17,True,False,127
4278410888665956377,114,17,True,False,193
4395275950095149694,230,17,True,False,165
4540967407210199896,18,17,True,False,419
4576182290782433168,102,17,True,False,179
4595766215821009805,33,17,True,False,151
4664063014837084159,286,17,True,False,113
4703183738388414583,18,17,True,False,560
4741734411832384515,154,17,True,False,122
4779199738329320125,141,17,True,False,206
4892416610229218148,362,17,True,False,197
4892937166020021875,329,17,True,False,116
4952332520158658631,383,17,True,False,189
5117846414938547522,274,17,True,False,189
5209770927037104596,855,17,True,False,147
5256851202054530732,239,17,True,False,216
5267215504513531424,404,17,True,False,171
5285368570039189264,198,17,True,False,181
5387207963303151825,78,17,True,False,164
5451385716070428157,201,17,True,False,189
