block_id,count,n_strains,duplicated,core,len
10970720654283486413,194,17,True,False,202
11054383627682742281,33,17,True,False,291
11234943027081114152,107,17,True,False,141
11273249210833809136,286,17,True,False,140
11322822704579308924,77,17,True,False,130
11365121720878765814,230,17,True,False,151
11399151655467825223,275,17,True,False,135
11440956043418058694,319,17,True,False,155
11462863905856489555,547,17,True,False,131
11510184613656339560,19,17,True,False,1066
11518887936970357275,69,17,True,False,321
12137747745698488943,207,17,True,False,140
12471971014577828326,94,17,True,False,1340
12808065783507846074,71,17,True,False,268
13053675318709602525,272,17,True,False,197
13126662955406101101,81,17,True,False,135
13214255793569804226,199,17,True,False,184
13248099803787854535,178,17,True,False,228
13739550720582046932,229,17,True,False,190
13782048730023694984,498,17,True,False,173
13797012499131519598,383,17,True,False,170
13809569400993015899,75,17,True,False,229
13935497277074812171,314,17,True,False,207
14126362272289375815,367,17,True,False,199
14132105282471154791,338,17,True,False,130
14361991169158928275,314,17,True,False,259
14373864224138665002,460,17,True,False,138
14391020367938706427,34,17,True,False,171
14663254351499829257,611,17,True,False,133
14679524496926687288,18,17,True,False,294
14701842730353267700,261,17,True,False,244
14721475092834266018,258,17,True,False,150
14760696474035616346,574,17,True,False,190
14835150905314125325,76,17,True,False,174
14859218616377291536,223,17,True,False,181
14891136312164869980,88,17,True,False,186
15039511158235830951,240,17,True,False,179
15064055251402431530,378,17,True,False,176
15195791000351454982,263,17,True,False,166
15286699987455339407,27,17,True,False,163
15316572292155036774,114,17,True,False,120
15500458110462432431,283,17,True,False,228
15562169203774624967,18,17,True,False,1366
15603501028025300028,303,17,True,False,183
15661863253824202461,252,17,True,False,166
15790010684317258243,19,17,True,False,237
15795259238655098508,81,17,True,False,149
15828566046057670287,534,17,True,False,115
15901486837765813147,18,17,True,False,142
16163624952522404996,341,17,True,False,225
16237428334170475601,22,17,True,False,169
16309517428143728053,98,17,True,False,148
16316407161800253980,44,17,True,False,145
16337490987555100492,264,17,True,False,122
16373509092406542304,271,17,True,False,169
16695037190521150996,78,17,True,False,188
16790645281864826443,22,17,True,False,135
16861085322026868257,381,17,True,False,101
16952298622670306349,46,17,True,False,418
16987469431227280550,194,17,True,False,196
17042037554989111383,315,17,True,False,122
17045136754505269594,344,17,True,False,121
17147064920964817512,376,17,True,False,127
17325344086444160767,226,17,True,False,200
17407273950558863124,370,17,True,False,135
17484461487974262360,175,17,True,False,126
17615866947860719453,458,17,True,False,212
17616675969253755449,18,17,True,False,673
17678438689894228649,210,17,True,False,106
17695750891981010264,366,17,True,False,150
17701901144216873484,383,17,True,False,166
17783561086692746142,18,17,True,False,152
17816810365490491685,120,17,True,False,236
17906020568802533292,381,17,True,False,149
18083746519488259627,371,17,True,False,123
18087953327905636676,630,17,True,False,220
18300813909975695240,303,17,True,False,125
